"Notes"	"State"	"State Code"	"Year"	"Year Code"	"MCD - Drug/Alcohol Induced"	"MCD - Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate
	"Florida"	"12"	"2004"	"2004"	"Alcohol-induced causes"	"A"	2512	17415318	14.4
	"Florida"	"12"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	168461	17415318	967.3
"Total"	"Florida"	"12"	"2004"	"2004"			174913	17415318	1004.4
	"Florida"	"12"	"2005"	"2005"	"Drug-induced causes"	"D"	20944	17842038	117.4
	"Florida"	"12"	"2005"	"2005"	"Alcohol-induced causes"	"A"	2884	17842038	16.2
	"Florida"	"12"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O"	170211	17842038	954.0
"Total"	"Florida"	"12"	"2005"	"2005"			194039	17842038	1087.5
	"Florida"	"12"	"2006"	"2006"	"Drug-induced causes"	"D"	21140	18166990	116.4
	"Florida"	"12"	"2006"	"2006"	"Alcohol-induced causes"	"A"	2966	18166990	16.3
	"Florida"	"12"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O"	169486	18166990	932.9
"Total"	"Florida"	"12"	"2006"	"2006"			193592	18166990	1065.6
	"Florida"	"12"	"2007"	"2007"	"Drug-induced causes"	"D"	21160	18367842	115.2
	"Florida"	"12"	"2007"	"2007"	"Alcohol-induced causes"	"A"	3031	18367842	16.5
	"Florida"	"12"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O"	167339	18367842	911.0
"Total"	"Florida"	"12"	"2007"	"2007"			191530	18367842	1042.7
	"Florida"	"12"	"2008"	"2008"	"Drug-induced causes"	"D"	21650	18527305	116.9
	"Florida"	"12"	"2008"	"2008"	"Alcohol-induced causes"	"A"	3064	18527305	16.5
	"Florida"	"12"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O"	170032	18527305	917.7
"Total"	"Florida"	"12"	"2008"	"2008"			194746	18527305	1051.1
	"Florida"	"12"	"2009"	"2009"	"Drug-induced causes"	"D"	21239	18652644	113.9
	"Florida"	"12"	"2009"	"2009"	"Alcohol-induced causes"	"A"	3018	18652644	16.2
	"Florida"	"12"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O"	169263	18652644	907.4
"Total"	"Florida"	"12"	"2009"	"2009"			193520	18652644	1037.5
	"Florida"	"12"	"2010"	"2010"	"Drug-induced causes"	"D"	20946	18801310	111.4
	"Florida"	"12"	"2010"	"2010"	"Alcohol-induced causes"	"A"	3156	18801310	16.8
	"Florida"	"12"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O"	173112	18801310	920.7
"Total"	"Florida"	"12"	"2010"	"2010"			197214	18801310	1048.9
	"Florida"	"12"	"2011"	"2011"	"Drug-induced causes"	"D"	20750	19057542	108.9
	"Florida"	"12"	"2011"	"2011"	"Alcohol-induced causes"	"A"	3261	19057542	17.1
	"Florida"	"12"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O"	173219	19057542	908.9
"Total"	"Florida"	"12"	"2011"	"2011"			197230	19057542	1034.9
	"Florida"	"12"	"2012"	"2012"	"Drug-induced causes"	"D"	21120	19317568	109.3
	"Florida"	"12"	"2012"	"2012"	"Alcohol-induced causes"	"A"	3409	19317568	17.6
	"Florida"	"12"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O"	176507	19317568	913.7
"Total"	"Florida"	"12"	"2012"	"2012"			201036	19317568	1040.7
	"Florida"	"12"	"2013"	"2013"	"Drug-induced causes"	"D"	22582	19552860	115.5
	"Florida"	"12"	"2013"	"2013"	"Alcohol-induced causes"	"A"	3692	19552860	18.9
	"Florida"	"12"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O"	180330	19552860	922.3
"Total"	"Florida"	"12"	"2013"	"2013"			206604	19552860	1056.6
	"Florida"	"12"	"2014"	"2014"	"Drug-induced causes"	"D"	22149	19893297	111.3
	"Florida"	"12"	"2014"	"2014"	"Alcohol-induced causes"	"A"	4060	19893297	20.4
	"Florida"	"12"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O"	185011	19893297	930.0
"Total"	"Florida"	"12"	"2014"	"2014"			211220	19893297	1061.8
	"Florida"	"12"	"2015"	"2015"	"Drug-induced causes"	"D"	22703	20271272	112.0
	"Florida"	"12"	"2015"	"2015"	"Alcohol-induced causes"	"A"	4498	20271272	22.2
	"Florida"	"12"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O"	190812	20271272	941.3
"Total"	"Florida"	"12"	"2015"	"2015"			218013	20271272	1075.5
	"Florida"	"12"	"2016"	"2016"	"Drug-induced causes"	"D"	25105	20612439	121.8
	"Florida"	"12"	"2016"	"2016"	"Alcohol-induced causes"	"A"	4832	20612439	23.4
	"Florida"	"12"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O"	196320	20612439	952.4
"Total"	"Florida"	"12"	"2016"	"2016"			226257	20612439	1097.7
	"Florida"	"12"	"2017"	"2017"	"Drug-induced causes"	"D"	26456	20984400	126.1
	"Florida"	"12"	"2017"	"2017"	"Alcohol-induced causes"	"A"	4899	20984400	23.3
	"Florida"	"12"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O"	202750	20984400	966.2
"Total"	"Florida"	"12"	"2017"	"2017"			234105	20984400	1115.6
	"Florida"	"12"	"2018"	"2018"	"Drug-induced causes"	"D"	26475	21299325	124.3
	"Florida"	"12"	"2018"	"2018"	"Alcohol-induced causes"	"A"	5178	21299325	24.3
	"Florida"	"12"	"2018"	"2018"	"All other non-drug and non-alcohol causes"	"O"	204406	21299325	959.7
"Total"	"Florida"	"12"	"2018"	"2018"			236059	21299325	1108.3
"Total"	"Florida"	"12"					3924871	370554370	1059.2
	"Georgia"	"13"	"1999"	"1999"	"Drug-induced causes"	"D"	528	8045965	6.6
	"Georgia"	"13"	"1999"	"1999"	"Alcohol-induced causes"	"A"	840	8045965	10.4
	"Georgia"	"13"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	61894	8045965	769.3
"Total"	"Georgia"	"13"	"1999"	"1999"			63262	8045965	786.3
	"Georgia"	"13"	"2000"	"2000"	"Drug-induced causes"	"D"	897	8186453	11.0
	"Georgia"	"13"	"2000"	"2000"	"Alcohol-induced causes"	"A"	914	8186453	11.2
	"Georgia"	"13"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	63757	8186453	778.8
"Total"	"Georgia"	"13"	"2000"	"2000"			65568	8186453	800.9
	"Georgia"	"13"	"2001"	"2001"	"Drug-induced causes"	"D"	1036	8377038	12.4
	"Georgia"	"13"	"2001"	"2001"	"Alcohol-induced causes"	"A"	983	8377038	11.7
	"Georgia"	"13"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	64346	8377038	768.1
"Total"	"Georgia"	"13"	"2001"	"2001"			66365	8377038	792.2
	"Georgia"	"13"	"2002"	"2002"	"Drug-induced causes"	"D"	1079	8508256	12.7
	"Georgia"	"13"	"2002"	"2002"	"Alcohol-induced causes"	"A"	988	8508256	11.6
	"Georgia"	"13"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	65315	8508256	767.7
"Total"	"Georgia"	"13"	"2002"	"2002"			67382	8508256	792.0
	"Georgia"	"13"	"2003"	"2003"	"Drug-induced causes"	"D"	1148	8622793	13.3
	"Georgia"	"13"	"2003"	"2003"	"Alcohol-induced causes"	"A"	924	8622793	10.7
	"Georgia"	"13"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O"	66366	8622793	769.7
"Total"	"Georgia"	"13"	"2003"	"2003"			68438	8622793	793.7
	"Georgia"	"13"	"2004"	"2004"	"Drug-induced causes"	"D"	1258	8769252	14.3
	"Georgia"	"13"	"2004"	"2004"	"Alcohol-induced causes"	"A"	1014	8769252	11.6
	"Georgia"	"13"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	65683	8769252	749.0
"Total"	"Georgia"	"13"	"2004"	"2004"			67955	8769252	774.9
	"Georgia"	"13"	"2005"	"2005"	"Drug-induced causes"	"D"	1453	8925922	16.3
	"Georgia"	"13"	"2005"	"2005"	"Alcohol-induced causes"	"A"	952	8925922	10.7
	"Georgia"	"13"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O"	66578	8925922	745.9
"Total"	"Georgia"	"13"	"2005"	"2005"			68983	8925922	772.8
	"Georgia"	"13"	"2006"	"2006"	"Drug-induced causes"	"D"	1537	9155813	16.8
	"Georgia"	"13"	"2006"	"2006"	"Alcohol-induced causes"	"A"	965	9155813	10.5
	"Georgia"	"13"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O"	67672	9155813	739.1
"Total"	"Georgia"	"13"	"2006"	"2006"			70174	9155813	766.4
	"Georgia"	"13"	"2007"	"2007"	"Drug-induced causes"	"D"	1594	9349988	17.0
	"Georgia"	"13"	"2007"	"2007"	"Alcohol-induced causes"	"A"	980	9349988	10.5
	"Georgia"	"13"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O"	68168	9349988	729.1
"Total"	"Georgia"	"13"	"2007"	"2007"			70742	9349988	756.6
	"Georgia"	"13"	"2008"	"2008"	"Drug-induced causes"	"D"	1663	9504843	17.5
	"Georgia"	"13"	"2008"	"2008"	"Alcohol-induced causes"	"A"	941	9504843	9.9
	"Georgia"	"13"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O"	69519	9504843	731.4
"Total"	"Georgia"	"13"	"2008"	"2008"			72123	9504843	758.8
	"Georgia"	"13"	"2009"	"2009"	"Drug-induced causes"	"D"	1932	9620846	20.1
	"Georgia"	"13"	"2009"	"2009"	"Alcohol-induced causes"	"A"	972	9620846	10.1
	"Georgia"	"13"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O"	69560	9620846	723.0
"Total"	"Georgia"	"13"	"2009"	"2009"			72464	9620846	753.2
	"Georgia"	"13"	"2010"	"2010"	"Drug-induced causes"	"D"	8121	9687653	83.8
	"Georgia"	"13"	"2010"	"2010"	"Alcohol-induced causes"	"A"	1164	9687653	12.0
	"Georgia"	"13"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O"	71044	9687653	733.3
"Total"	"Georgia"	"13"	"2010"	"2010"			80329	9687653	829.2
	"Georgia"	"13"	"2011"	"2011"	"Drug-induced causes"	"D"	7855	9815210	80.0
	"Georgia"	"13"	"2011"	"2011"	"Alcohol-induced causes"	"A"	1131	9815210	11.5
	"Georgia"	"13"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O"	71069	9815210	724.1
"Total"	"Georgia"	"13"	"2011"	"2011"			80055	9815210	815.6
	"Georgia"	"13"	"2012"	"2012"	"Drug-induced causes"	"D"	8003	9919945	80.7
	"Georgia"	"13"	"2012"	"2012"	"Alcohol-induced causes"	"A"	1170	9919945	11.8
	"Georgia"	"13"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O"	72678	9919945	732.6
"Total"	"Georgia"	"13"	"2012"	"2012"			81851	9919945	825.1
	"Georgia"	"13"	"2013"	"2013"	"Drug-induced causes"	"D"	8446	9992167	84.5
	"Georgia"	"13"	"2013"	"2013"	"Alcohol-induced causes"	"A"	1200	9992167	12.0
	"Georgia"	"13"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O"	74907	9992167	749.7
"Total"	"Georgia"	"13"	"2013"	"2013"			84553	9992167	846.2
	"Georgia"	"13"	"2014"	"2014"	"Drug-induced causes"	"D"	8743	10097343	86.6
	"Georgia"	"13"	"2014"	"2014"	"Alcohol-induced causes"	"A"	1220	10097343	12.1
	"Georgia"	"13"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O"	76666	10097343	759.3
"Total"	"Georgia"	"13"	"2014"	"2014"			86629	10097343	857.9
	"Georgia"	"13"	"2015"	"2015"	"Drug-induced causes"	"D"	9428	10214860	92.3
	"Georgia"	"13"	"2015"	"2015"	"Alcohol-induced causes"	"A"	1305	10214860	12.8
	"Georgia"	"13"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O"	79717	10214860	780.4
"Total"	"Georgia"	"13"	"2015"	"2015"			90450	10214860	885.5
	"Georgia"	"13"	"2016"	"2016"	"Drug-induced causes"	"D"	9529	10310371	92.4
	"Georgia"	"13"	"2016"	"2016"	"Alcohol-induced causes"	"A"	1404	10310371	13.6
	"Georgia"	"13"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O"	81183	10310371	787.4
"Total"	"Georgia"	"13"	"2016"	"2016"			92116	10310371	893.4
	"Georgia"	"13"	"2017"	"2017"	"Drug-induced causes"	"D"	10340	10429379	99.1
	"Georgia"	"13"	"2017"	"2017"	"Alcohol-induced causes"	"A"	1574	10429379	15.1
	"Georgia"	"13"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O"	82875	10429379	794.6
"Total"	"Georgia"	"13"	"2017"	"2017"			94789	10429379	908.9
	"Georgia"	"13"	"2018"	"2018"	"Drug-induced causes"	"D"	10116	10519475	96.2
	"Georgia"	"13"	"2018"	"2018"	"Alcohol-induced causes"	"A"	1679	10519475	16.0
	"Georgia"	"13"	"2018"	"2018"	"All other non-drug and non-alcohol causes"	"O"	84947	10519475	807.5
"Total"	"Georgia"	"13"	"2018"	"2018"			96742	10519475	919.6
"Total"	"Georgia"	"13"					1540970	188053572	819.4
	"Hawaii"	"15"	"1999"	"1999"	"Drug-induced causes"	"D"	122	1210300	10.1
	"Hawaii"	"15"	"1999"	"1999"	"Alcohol-induced causes"	"A"	103	1210300	8.5
	"Hawaii"	"15"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	8263	1210300	682.7
"Total"	"Hawaii"	"15"	"1999"	"1999"			8488	1210300	701.3
	"Hawaii"	"15"	"2000"	"2000"	"Drug-induced causes"	"D"	129	1211537	10.6
	"Hawaii"	"15"	"2000"	"2000"	"Alcohol-induced causes"	"A"	77	1211537	6.4
	"Hawaii"	"15"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	8288	1211537	684.1
"Total"	"Hawaii"	"15"	"2000"	"2000"			8494	1211537	701.1
	"Hawaii"	"15"	"2001"	"2001"	"Drug-induced causes"	"D"	165	1225948	13.5
	"Hawaii"	"15"	"2001"	"2001"	"Alcohol-induced causes"	"A"	91	1225948	7.4
	"Hawaii"	"15"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	8394	1225948	684.7
"Total"	"Hawaii"	"15"	"2001"	"2001"			8650	1225948	705.6
	"Hawaii"	"15"	"2002"	"2002"	"Drug-induced causes"	"D"	160	1239613	12.9
	"Hawaii"	"15"	"2002"	"2002"	"Alcohol-induced causes"	"A"	118	1239613	9.5
	"Hawaii"	"15"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	8800	1239613	709.9
"Total"	"Hawaii"	"15"	"2002"	"2002"			9078	1239613	732.3
	"Hawaii"	"15"	"2003"	"2003"	"Drug-induced causes"	"D"	180	1251154	14.4
	"Hawaii"	"15"	"2003"	"2003"	"Alcohol-induced causes"	"A"	116	1251154	9.3
	"Hawaii"	"15"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O"	8967	1251154	716.7
"Total"	"Hawaii"	"15"	"2003"	"2003"			9263	1251154	740.4
	"Hawaii"	"15"	"2004"	"2004"	"Drug-induced causes"	"D"	210	1273569	16.5
	"Hawaii"	"15"	"2004"	"2004"	"Alcohol-induced causes"	"A"	144	1273569	11.3
	"Hawaii"	"15"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	9020	1273569	708.2
"Total"	"Hawaii"	"15"	"2004"	"2004"			9374	1273569	736.0
	"Hawaii"	"15"	"2005"	"2005"	"Drug-induced causes"	"D"	251	1292729	19.4
	"Hawaii"	"15"	"2005"	"2005"	"Alcohol-induced causes"	"A"	139	1292729	10.8
	"Hawaii"	"15"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O"	9125	1292729	705.9
"Total"	"Hawaii"	"15"	"2005"	"2005"			9515	1292729	736.0
	"Hawaii"	"15"	"2006"	"2006"	"Drug-induced causes"	"D"	1097	1309731	83.8
	"Hawaii"	"15"	"2006"	"2006"	"Alcohol-induced causes"	"A"	198	1309731	15.1
	"Hawaii"	"15"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O"	9425	1309731	719.6
"Total"	"Hawaii"	"15"	"2006"	"2006"			10720	1309731	818.5
	"Hawaii"	"15"	"2007"	"2007"	"Drug-induced causes"	"D"	1268	1315675	96.4
	"Hawaii"	"15"	"2007"	"2007"	"Alcohol-induced causes"	"A"	187	1315675	14.2
	"Hawaii"	"15"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O"	9479	1315675	720.5
"Total"	"Hawaii"	"15"	"2007"	"2007"			10934	1315675	831.1
	"Hawaii"	"15"	"2008"	"2008"	"Drug-induced causes"	"D"	1311	1332213	98.4
	"Hawaii"	"15"	"2008"	"2008"	"Alcohol-induced causes"	"A"	165	1332213	12.4
	"Hawaii"	"15"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O"	9490	1332213	712.3
"Total"	"Hawaii"	"15"	"2008"	"2008"			10966	1332213	823.1
	"Hawaii"	"15"	"2009"	"2009"	"Drug-induced causes"	"D"	1279	1346717	95.0
	"Hawaii"	"15"	"2009"	"2009"	"Alcohol-induced causes"	"A"	199	1346717	14.8
	"Hawaii"	"15"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O"	9897	1346717	734.9
"Total"	"Hawaii"	"15"	"2009"	"2009"			11375	1346717	844.6
	"Hawaii"	"15"	"2010"	"2010"	"Drug-induced causes"	"D"	1342	1360301	98.7
	"Hawaii"	"15"	"2010"	"2010"	"Alcohol-induced causes"	"A"	191	1360301	14.0
	"Hawaii"	"15"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O"	9597	1360301	705.5
"Total"	"Hawaii"	"15"	"2010"	"2010"			11130	1360301	818.2
	"Hawaii"	"15"	"2011"	"2011"	"Drug-induced causes"	"D"	1429	1374810	103.9
	"Hawaii"	"15"	"2011"	"2011"	"Alcohol-induced causes"	"A"	219	1374810	15.9
	"Hawaii"	"15"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O"	9909	1374810	720.8
"Total"	"Hawaii"	"15"	"2011"	"2011"			11557	1374810	840.6
	"Hawaii"	"15"	"2012"	"2012"	"Drug-induced causes"	"D"	1388	1392313	99.7
	"Hawaii"	"15"	"2012"	"2012"	"Alcohol-induced causes"	"A"	212	1392313	15.2
	"Hawaii"	"15"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O"	10252	1392313	736.3
"Total"	"Hawaii"	"15"	"2012"	"2012"			11852	1392313	851.2
	"Hawaii"	"15"	"2013"	"2013"	"Drug-induced causes"	"D"	1380	1404054	98.3
	"Hawaii"	"15"	"2013"	"2013"	"Alcohol-induced causes"	"A"	192	1404054	13.7
	"Hawaii"	"15"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O"	10495	1404054	747.5
"Total"	"Hawaii"	"15"	"2013"	"2013"			12067	1404054	859.4
	"Hawaii"	"15"	"2014"	"2014"	"Drug-induced causes"	"D"	1390	1419561	97.9
	"Hawaii"	"15"	"2014"	"2014"	"Alcohol-induced causes"	"A"	180	1419561	12.7
	"Hawaii"	"15"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O"	10747	1419561	757.1
"Total"	"Hawaii"	"15"	"2014"	"2014"			12317	1419561	867.7
	"Hawaii"	"15"	"2015"	"2015"	"Drug-induced causes"	"D"	1370	1431603	95.7
	"Hawaii"	"15"	"2015"	"2015"	"Alcohol-induced causes"	"A"	185	1431603	12.9
	"Hawaii"	"15"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O"	11015	1431603	769.4
"Total"	"Hawaii"	"15"	"2015"	"2015"			12570	1431603	878.0
	"Hawaii"	"15"	"2016"	"2016"	"Drug-induced causes"	"D"	1516	1428557	106.1
	"Hawaii"	"15"	"2016"	"2016"	"Alcohol-induced causes"	"A"	188	1428557	13.2
	"Hawaii"	"15"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O"	10887	1428557	762.1
"Total"	"Hawaii"	"15"	"2016"	"2016"			12591	1428557	881.4
	"Hawaii"	"15"	"2017"	"2017"	"Drug-induced causes"	"D"	1515	1427538	106.1
	"Hawaii"	"15"	"2017"	"2017"	"Alcohol-induced causes"	"A"	189	1427538	13.2
	"Hawaii"	"15"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O"	11362	1427538	795.9
"Total"	"Hawaii"	"15"	"2017"	"2017"			13066	1427538	915.3
	"Hawaii"	"15"	"2018"	"2018"	"Drug-induced causes"	"D"	1534	1420491	108.0
	"Hawaii"	"15"	"2018"	"2018"	"Alcohol-induced causes"	"A"	171	1420491	12.0
	"Hawaii"	"15"	"2018"	"2018"	"All other non-drug and non-alcohol causes"	"O"	11393	1420491	802.0
"Total"	"Hawaii"	"15"	"2018"	"2018"			13098	1420491	922.1
"Total"	"Hawaii"	"15"					217105	26668414	814.1
	"Idaho"	"16"	"1999"	"1999"	"Drug-induced causes"	"D"	112	1275674	8.8
	"Idaho"	"16"	"1999"	"1999"	"Alcohol-induced causes"	"A"	126	1275674	9.9
	"Idaho"	"16"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	9567	1275674	750.0
"Total"	"Idaho"	"16"	"1999"	"1999"			9805	1275674	768.6
	"Idaho"	"16"	"2000"	"2000"	"Drug-induced causes"	"D"	213	1293953	16.5
	"Idaho"	"16"	"2000"	"2000"	"Alcohol-induced causes"	"A"	201	1293953	15.5
	"Idaho"	"16"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	9550	1293953	738.0
"Total"	"Idaho"	"16"	"2000"	"2000"			9964	1293953	770.0
	"Idaho"	"16"	"2001"	"2001"	"Drug-induced causes"	"D"	220	1319962	16.7
	"Idaho"	"16"	"2001"	"2001"	"Alcohol-induced causes"	"A"	213	1319962	16.1
	"Idaho"	"16"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	9740	1319962	737.9
"Total"	"Idaho"	"16"	"2001"	"2001"			10173	1319962	770.7
	"Idaho"	"16"	"2002"	"2002"	"Drug-induced causes"	"D"	272	1340372	20.3
	"Idaho"	"16"	"2002"	"2002"	"Alcohol-induced causes"	"A"	206	1340372	15.4
	"Idaho"	"16"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	9912	1340372	739.5
"Total"	"Idaho"	"16"	"2002"	"2002"			10390	1340372	775.2
	"Idaho"	"16"	"2003"	"2003"	"Drug-induced causes"	"D"	1790	1363380	131.3
	"Idaho"	"16"	"2003"	"2003"	"Alcohol-induced causes"	"A"	222	1363380	16.3
	"Idaho"	"16"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O"	10368	1363380	760.5
"Total"	"Idaho"	"16"	"2003"	"2003"			12380	1363380	908.0
	"Idaho"	"16"	"2004"	"2004"	"Drug-induced causes"	"D"	1866	1391802	134.1
	"Idaho"	"16"	"2004"	"2004"	"Alcohol-induced causes"	"A"	209	1391802	15.0
	"Idaho"	"16"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	10012	1391802	719.4
"Total"	"Idaho"	"16"	"2004"	"2004"			12087	1391802	868.4
	"Idaho"	"16"	"2005"	"2005"	"Drug-induced causes"	"D"	2129	1428241	149.1
	"Idaho"	"16"	"2005"	"2005"	"Alcohol-induced causes"	"A"	255	1428241	17.9
	"Idaho"	"16"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O"	10538	1428241	737.8
"Total"	"Idaho"	"16"	"2005"	"2005"			12922	1428241	904.7
	"Idaho"	"16"	"2006"	"2006"	"Drug-induced causes"	"D"	2097	1468669	142.8
	"Idaho"	"16"	"2006"	"2006"	"Alcohol-induced causes"	"A"	259	1468669	17.6
	"Idaho"	"16"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O"	10589	1468669	721.0
"Total"	"Idaho"	"16"	"2006"	"2006"			12945	1468669	881.4
	"Idaho"	"16"	"2007"	"2007"	"Drug-induced causes"	"D"	2101	1505105	139.6
	"Idaho"	"16"	"2007"	"2007"	"Alcohol-induced causes"	"A"	268	1505105	17.8
	"Idaho"	"16"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O"	10783	1505105	716.4
"Total"	"Idaho"	"16"	"2007"	"2007"			13152	1505105	873.8
	"Idaho"	"16"	"2008"	"2008"	"Drug-induced causes"	"D"	2177	1534320	141.9
	"Idaho"	"16"	"2008"	"2008"	"Alcohol-induced causes"	"A"	287	1534320	18.7
	"Idaho"	"16"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O"	10911	1534320	711.1
"Total"	"Idaho"	"16"	"2008"	"2008"			13375	1534320	871.7
	"Idaho"	"16"	"2009"	"2009"	"Drug-induced causes"	"D"	2347	1554439	151.0
	"Idaho"	"16"	"2009"	"2009"	"Alcohol-induced causes"	"A"	293	1554439	18.8
	"Idaho"	"16"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O"	11062	1554439	711.6
"Total"	"Idaho"	"16"	"2009"	"2009"			13702	1554439	881.5
	"Idaho"	"16"	"2010"	"2010"	"Drug-induced causes"	"D"	2376	1567582	151.6
	"Idaho"	"16"	"2010"	"2010"	"Alcohol-induced causes"	"A"	328	1567582	20.9
	"Idaho"	"16"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O"	11402	1567582	727.4
"Total"	"Idaho"	"16"	"2010"	"2010"			14106	1567582	899.9
	"Idaho"	"16"	"2011"	"2011"	"Drug-induced causes"	"D"	2458	1584985	155.1
	"Idaho"	"16"	"2011"	"2011"	"Alcohol-induced causes"	"A"	326	1584985	20.6
	"Idaho"	"16"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O"	11984	1584985	756.1
"Total"	"Idaho"	"16"	"2011"	"2011"			14768	1584985	931.7
	"Idaho"	"16"	"2012"	"2012"	"Drug-induced causes"	"D"	2349	1595728	147.2
	"Idaho"	"16"	"2012"	"2012"	"Alcohol-induced causes"	"A"	388	1595728	24.3
	"Idaho"	"16"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O"	11965	1595728	749.8
"Total"	"Idaho"	"16"	"2012"	"2012"			14702	1595728	921.3
	"Idaho"	"16"	"2013"	"2013"	"Drug-induced causes"	"D"	2538	1612136	157.4
	"Idaho"	"16"	"2013"	"2013"	"Alcohol-induced causes"	"A"	416	1612136	25.8
	"Idaho"	"16"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O"	12396	1612136	768.9
"Total"	"Idaho"	"16"	"2013"	"2013"			15350	1612136	952.2
	"Idaho"	"16"	"2014"	"2014"	"Drug-induced causes"	"D"	2542	1634464	155.5
	"Idaho"	"16"	"2014"	"2014"	"Alcohol-induced causes"	"A"	438	1634464	26.8
	"Idaho"	"16"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O"	12559	1634464	768.4
"Total"	"Idaho"	"16"	"2014"	"2014"			15539	1634464	950.7
	"Idaho"	"16"	"2015"	"2015"	"Drug-induced causes"	"D"	2615	1654930	158.0
	"Idaho"	"16"	"2015"	"2015"	"Alcohol-induced causes"	"A"	429	1654930	25.9
	"Idaho"	"16"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O"	12979	1654930	784.3
"Total"	"Idaho"	"16"	"2015"	"2015"			16023	1654930	968.2
	"Idaho"	"16"	"2016"	"2016"	"Drug-induced causes"	"D"	2791	1683140	165.8
	"Idaho"	"16"	"2016"	"2016"	"Alcohol-induced causes"	"A"	463	1683140	27.5
	"Idaho"	"16"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O"	13329	1683140	791.9
"Total"	"Idaho"	"16"	"2016"	"2016"			16583	1683140	985.2
